#bitalino_nseq	bitalino_raw_A1
0	489
1	480
2	471
3	460
4	450
5	442
6	432
7	425
8	423
9	422
10	424
11	428
12	432
13	434
14	438
15	440
0	440
1	441
2	445
3	449
4	452
5	458
6	463
7	467
8	471
9	476
10	480
11	483
12	484
13	482
14	478
15	470
0	464
1	455
2	449
3	444
4	438
5	432
6	429
7	428
8	428
9	428
10	431
11	432
12	433
13	435
14	439
15	441
0	463
1	707
2	840
3	855
4	586
5	328
6	225
7	161
8	122
9	120
10	141
11	173
12	206
13	237
14	265
15	291
0	316
1	555
2	757
3	810
4	671
5	374
6	217
7	137
8	94
9	79
10	86
11	110
12	138
13	168
14	199
15	229
0	257
1	280
2	300
3	317
4	330
5	342
6	355
7	367
8	377
9	387
10	394
11	401
12	408
13	414
14	419
15	418
0	399
1	374
2	360
3	359
4	370
5	396
6	409
7	397
8	364
9	342
10	333
11	313
12	300
13	308
14	328
15	345
0	365
1	376
2	383
3	389
4	391
5	393
6	399
7	406
8	415
9	425
10	425
11	428
12	435
13	445
14	453
15	457
0	461
1	459
2	455
3	450
4	445
5	440
6	437
7	433
8	432
9	431
10	428
11	423
12	420
13	418
14	419
15	419
0	420
1	423
2	425
3	427
4	431
5	432
6	435
7	439
8	443
9	450
10	460
11	468
12	475
13	476
14	478
15	478
0	476
1	475
2	472
3	466
4	459
5	454
6	450
7	448
8	446
9	445
10	443
11	439
12	432
13	423
14	418
15	413
0	412
1	412
2	414
3	414
4	415
5	416
6	420
7	422
8	423
9	427
10	431
11	434
12	437
13	443
14	448
15	455
0	463
1	468
2	472
3	473
4	475
5	476
6	477
7	479
8	480
9	480
10	483
11	491
12	504
13	507
14	499
15	487
0	476
1	465
2	456
3	445
4	438
5	433
6	425
7	414
8	402
9	395
10	387
11	380
12	380
13	385
14	392
15	398
0	403
1	408
2	414
3	417
4	422
5	430
6	439
7	449
8	460
9	469
10	478
11	484
12	488
13	491
14	491
15	488
0	485
1	482
2	479
3	475
4	473
5	467
6	459
7	453
8	449
9	445
10	442
11	440
12	438
13	433
14	428
15	420
0	412
1	402
2	398
3	397
4	399
5	402
6	405
7	409
8	415
9	418
10	420
11	427
12	436
13	443
14	449
15	456
0	463
1	467
2	471
3	476
4	481
5	482
6	482
7	481
8	478
9	475
10	472
11	468
12	462
13	456
14	451
15	447
0	443
1	441
2	441
3	439
4	436
5	431
6	428
7	422
8	418
9	419
10	424
11	428
12	430
13	431
14	431
15	432
0	436
1	443
2	448
3	455
4	459
5	462
6	463
7	464
8	468
9	469
10	468
11	468
12	468
13	466
14	462
15	455
0	450
1	446
2	443
3	441
4	439
5	435
6	433
7	431
8	427
9	425
10	425
11	428
12	428
13	429
14	433
15	437
0	439
1	445
2	448
3	456
4	461
5	465
6	467
7	467
8	464
9	461
10	457
11	453
12	452
13	454
14	458
15	432
0	404
1	390
2	384
3	387
4	396
5	401
6	406
7	408
8	411
9	416
10	420
11	430
12	433
13	444
14	451
15	455
0	456
1	453
2	455
3	458
4	460
5	462
6	463
7	463
8	462
9	461
10	457
11	453
12	446
13	440
14	431
15	425
0	422
1	416
2	411
3	408
4	407
5	407
6	412
7	419
8	423
9	424
10	428
11	434
12	441
13	450
14	458
15	464
0	470
1	476
2	481
3	482
4	484
5	485
6	485
7	482
8	475
9	465
10	457
11	452
12	449
13	443
14	435
15	427
0	419
1	414
2	415
3	417
4	419
5	421
6	429
7	436
8	438
9	437
10	433
11	430
12	431
13	433
14	439
15	444
0	454
1	463
2	469
3	473
4	480
5	486
6	488
7	479
8	471
9	470
10	467
11	459
12	444
13	432
14	423
15	418
0	417
1	415
2	417
3	420
4	423
5	427
6	431
7	436
8	447
9	458
10	468
11	476
12	482
13	487
14	489
15	492
0	492
1	492
2	489
3	486
4	479
5	471
6	463
7	457
8	451
9	446
10	439
11	433
12	428
13	423
14	423
15	422
0	419
1	419
2	423
3	425
4	428
5	432
6	437
7	438
8	439
9	444
10	448
11	454
12	463
13	470
14	477
15	481
0	487
1	488
2	489
3	492
4	491
5	489
6	485
7	478
8	471
9	466
10	461
11	456
12	451
13	447
14	442
15	436
0	431
1	426
2	422
3	417
4	417
5	415
6	415
7	418
8	424
9	429
10	432
11	437
12	442
13	447
14	454
15	461
0	466
1	471
2	479
3	483
4	478
5	476
6	478
7	481
8	485
9	491
10	493
11	496
12	502
13	501
14	496
15	483
0	467
1	448
2	436
3	427
4	425
5	422
6	430
7	439
8	428
9	422
10	411
11	413
12	412
13	416
14	426
15	440
0	447
1	454
2	466
3	485
4	492
5	496
6	498
7	502
8	498
9	496
10	486
11	476
12	460
13	450
14	448
15	451
0	446
1	437
2	426
3	420
4	419
5	414
6	413
7	414
8	416
9	417
10	421
11	425
12	428
13	434
14	443
15	451
0	460
1	467
2	471
3	473
4	476
5	478
6	477
7	478
8	480
9	476
10	473
11	467
12	462
13	454
14	448
15	444
0	443
1	438
2	435
3	434
4	431
5	431
6	431
7	434
8	436
9	439
10	440
11	442
12	446
13	454
14	462
15	467
0	472
1	475
2	480
3	483
4	487
5	489
6	487
7	480
8	469
9	463
10	456
11	451
12	448
13	445
14	441
15	438
0	436
1	435
2	432
3	432
4	433
5	435
6	438
7	439
8	443
9	443
10	445
11	451
12	459
13	464
14	467
15	471
0	472
1	475
2	478
3	479
4	479
5	478
6	473
7	465
8	458
9	454
10	452
11	448
12	444
13	440
14	435
15	433
0	433
1	433
2	435
3	437
4	439
5	442
6	444
7	448
8	452
9	457
10	462
11	463
12	466
13	469
14	471
15	472
0	476
1	481
2	483
3	481
4	479
5	479
6	478
7	474
8	471
9	465
10	458
11	453
12	448
13	445
14	444
15	440
0	438
1	436
2	436
3	437
4	437
5	440
6	443
7	446
8	448
9	448
10	451
11	451
12	451
13	453
14	456
15	460
0	465
1	470
2	475
3	479
4	480
5	481
6	482
7	481
8	475
9	466
10	460
11	455
12	450
13	448
14	448
15	447
0	445
1	444
2	444
3	445
4	445
5	446
6	449
7	457
8	455
9	444
10	440
11	437
12	435
13	436
14	440
15	444
0	447
1	455
2	464
3	470
4	473
5	476
6	479
7	478
8	475
9	469
10	465
11	460
12	458
13	459
14	459
15	455
0	451
1	451
2	454
3	462
4	467
5	465
6	457
7	449
8	449
9	448
10	453
11	463
12	475
13	482
14	488
15	503
0	508
1	499
2	492
3	490
4	484
5	487
6	490
7	489
8	485
9	473
10	461
11	448
12	440
13	437
14	437
15	433
0	433
1	437
2	447
3	475
4	500
5	518
6	525
7	528
8	526
9	516
10	511
11	504
12	496
13	491
14	489
15	487
0	480
1	470
2	465
3	460
4	455
5	452
6	445
7	435
8	428
9	426
10	425
11	427
12	433
13	440
14	449
15	453
0	454
1	448
2	446
3	447
4	452
5	456
6	456
7	451
8	447
9	452
10	459
11	457
12	455
13	462
14	467
15	462
0	456
1	453
2	453
3	451
4	447
5	442
6	433
7	428
8	426
9	428
10	427
11	427
12	425
13	426
14	427
15	430
0	433
1	438
2	441
3	445
4	445
5	447
6	448
7	451
8	454
9	456
10	460
11	465
12	470
13	475
14	482
15	487
0	494
1	499
2	507
3	525
4	534
5	527
6	514
7	499
8	485
9	474
10	466
11	459
12	451
13	447
14	441
15	431
0	425
1	424
2	425
3	425
4	426
5	427
6	429
7	430
8	433
9	435
10	437
11	440
12	443
13	445
14	447
15	449
0	452
1	456
2	462
3	468
4	472
5	474
6	475
7	476
8	475
9	476
10	480
11	483
12	483
13	481
14	475
15	465
0	459
1	456
2	453
3	451
4	448
5	446
6	442
7	444
8	450
9	449
10	446
11	445
12	446
13	449
14	451
15	450
0	449
1	449
2	448
3	446
4	445
5	446
6	448
7	452
8	458
9	467
10	476
11	484
12	489
13	493
14	497
15	501
0	501
1	502
2	502
3	496
4	487
5	477
6	468
7	462
8	457
9	452
10	447
11	440
12	434
13	431
14	427
15	425
0	423
1	423
2	426
3	430
4	433
5	433
6	437
7	443
8	452
9	461
10	467
11	473
12	478
13	483
14	486
15	488
0	488
1	481
2	472
3	465
4	458
5	454
6	452
7	447
8	442
9	440
10	438
11	438
12	441
13	445
14	447
15	448
0	451
1	450
2	451
3	452
4	455
5	457
6	458
7	461
8	465
9	470
10	476
11	479
12	480
13	480
14	481
15	481
0	473
1	465
2	459
3	452
4	448
5	445
6	444
7	443
8	444
9	447
10	452
11	452
12	455
13	455
14	454
15	455
0	458
1	459
2	460
3	463
4	465
5	467
6	472
7	475
8	476
9	477
10	479
11	480
12	470
13	456
14	448
15	443
0	439
1	438
2	440
3	440
4	442
5	445
6	447
7	450
8	454
9	476
10	495
11	499
12	497
13	493
14	486
15	480
0	469
1	454
2	444
3	439
4	439
5	439
6	439
7	441
8	454
9	481
10	496
11	496
12	493
13	482
14	474
15	466
0	460
1	460
2	468
3	459
4	442
5	425
6	412
7	402
8	402
9	412
10	419
11	425
12	425
13	427
14	433
15	432
0	432
1	436
2	452
3	466
4	479
5	491
6	499
7	505
8	508
9	511
10	513
11	511
12	509
13	504
