#scientisst_nseq	scientisst_raw_AI6
0	1514
1	1518
2	1510
3	1514
4	1507
5	1509
6	1504
7	1498
8	1493
9	1498
10	1495
11	1490
12	1491
13	1489
14	1488
15	1491
0	1488
1	1488
2	1500
3	1559
4	1579
5	1589
6	1577
7	1556
8	1552
9	1534
10	1522
11	1523
12	1514
13	1513
14	1509
15	1510
0	1511
1	1506
2	1509
3	1555
4	1581
5	1591
6	1584
7	1566
8	1557
9	1542
10	1534
11	1520
12	1517
13	1515
14	1510
15	1515
0	1505
1	1504
2	1507
3	1507
4	1505
5	1511
6	1506
7	1509
8	1514
9	1508
10	1513
11	1510
12	1511
13	1510
14	1515
15	1518
0	1520
1	1526
2	1523
3	1521
4	1522
5	1527
6	1526
7	1527
8	1535
9	1533
10	1520
11	1520
12	1520
13	1506
14	1497
15	1491
0	1493
1	1500
2	1491
3	1490
4	1494
5	1488
6	1488
7	1488
8	1488
9	1493
10	1497
11	1502
12	1503
13	1509
14	1506
15	1513
0	1514
1	1518
2	1517
3	1516
4	1520
5	1518
6	1520
7	1517
8	1520
9	1515
10	1508
11	1509
12	1515
13	1507
14	1501
15	1497
0	1498
1	1501
2	1497
3	1495
4	1495
5	1499
6	1495
7	1495
8	1498
9	1499
10	1504
11	1507
12	1511
13	1517
14	1526
15	1523
0	1521
1	1522
2	1520
3	1522
4	1522
5	1523
6	1521
7	1527
8	1521
9	1520
10	1523
11	1520
12	1520
13	1517
14	1519
15	1509
0	1507
1	1503
2	1498
3	1495
4	1497
5	1501
6	1494
7	1495
8	1495
9	1502
10	1494
11	1494
12	1491
13	1494
14	1497
15	1502
0	1502
1	1506
2	1509
3	1519
4	1515
5	1518
6	1523
7	1520
8	1523
9	1523
10	1523
11	1529
12	1527
13	1530
14	1534
15	1535
0	1534
1	1535
2	1532
3	1530
4	1528
5	1525
6	1524
7	1520
8	1519
9	1517
10	1509
11	1504
12	1499
13	1494
14	1492
15	1490
0	1491
1	1491
2	1494
3	1497
4	1499
5	1491
6	1491
7	1493
8	1497
9	1503
10	1507
11	1510
12	1519
13	1520
14	1520
15	1520
0	1521
1	1524
2	1524
3	1526
4	1527
5	1525
6	1531
7	1527
8	1526
9	1527
10	1526
11	1527
12	1522
13	1520
14	1520
15	1520
0	1520
1	1514
2	1507
3	1501
4	1497
5	1497
6	1493
7	1494
8	1494
9	1493
10	1494
11	1499
12	1493
13	1493
14	1494
15	1500
0	1503
1	1506
2	1510
3	1519
4	1520
5	1520
6	1520
7	1520
8	1527
9	1522
10	1523
11	1529
12	1523
13	1527
14	1526
15	1529
0	1526
1	1525
2	1520
3	1519
4	1520
5	1520
6	1516
7	1520
8	1513
9	1506
10	1503
11	1504
12	1504
13	1504
14	1501
15	1505
0	1502
1	1499
2	1506
3	1504
4	1503
5	1507
6	1509
7	1512
8	1515
9	1518
10	1518
11	1519
12	1522
13	1520
14	1520
15	1529
0	1520
1	1520
2	1521
3	1520
4	1520
5	1520
6	1520
7	1515
8	1513
9	1511
10	1508
11	1504
12	1505
13	1507
14	1501
15	1498
0	1501
1	1499
2	1498
3	1506
4	1503
5	1505
6	1508
7	1517
8	1519
9	1517
10	1519
11	1520
12	1521
13	1523
14	1520
15	1521
0	1520
1	1521
2	1523
3	1520
4	1518
5	1517
6	1507
7	1511
8	1514
9	1506
10	1505
11	1503
12	1502
13	1503
14	1504
15	1505
0	1503
1	1504
2	1509
3	1519
4	1517
5	1518
6	1518
7	1522
8	1520
9	1520
10	1523
11	1520
12	1520
13	1520
14	1520
15	1515
0	1511
1	1511
2	1507
3	1500
4	1498
5	1493
6	1493
7	1491
8	1490
9	1497
10	1489
11	1489
12	1491
13	1491
14	1491
15	1495
0	1500
1	1509
2	1508
3	1513
4	1517
5	1517
6	1520
7	1526
8	1530
9	1523
10	1522
11	1525
12	1525
13	1524
14	1520
15	1518
0	1514
1	1505
2	1501
3	1495
4	1500
5	1494
6	1499
7	1492
8	1498
9	1491
10	1497
11	1495
12	1495
13	1491
14	1493
15	1495
0	1491
1	1503
2	1503
3	1506
4	1509
5	1515
6	1519
7	1521
8	1520
9	1519
10	1521
11	1520
12	1521
13	1517
14	1509
15	1506
0	1501
1	1498
2	1495
3	1492
4	1494
5	1493
6	1494
7	1498
8	1494
9	1493
10	1495
11	1500
12	1505
13	1508
14	1512
15	1518
0	1519
1	1520
2	1521
3	1522
4	1523
5	1526
6	1524
7	1523
8	1525
9	1520
10	1524
11	1521
12	1514
13	1513
14	1507
15	1498
0	1495
1	1502
2	1491
3	1498
4	1493
5	1491
6	1497
7	1493
8	1491
9	1490
10	1493
11	1494
12	1494
13	1502
14	1503
15	1507
0	1511
1	1515
2	1515
3	1520
4	1525
5	1525
6	1523
7	1524
8	1526
9	1523
10	1531
11	1525
12	1522
13	1521
14	1520
15	1520
0	1518
1	1511
2	1508
3	1498
4	1497
5	1492
6	1491
7	1490
8	1489
9	1490
10	1489
11	1488
12	1490
13	1490
14	1492
15	1493
0	1495
1	1499
2	1504
3	1507
4	1513
5	1513
6	1520
7	1519
8	1522
9	1523
10	1524
11	1526
12	1525
13	1523
14	1526
15	1524
0	1526
1	1521
2	1520
3	1514
4	1514
5	1502
6	1502
7	1498
8	1506
9	1501
10	1505
11	1505
12	1504
13	1505
14	1501
15	1501
0	1501
1	1501
2	1501
3	1503
4	1505
5	1519
6	1514
7	1517
8	1520
9	1520
10	1520
11	1525
12	1522
13	1525
14	1521
15	1525
0	1522
1	1520
2	1518
3	1515
4	1510
5	1503
6	1498
7	1494
8	1491
9	1491
10	1491
11	1494
12	1489
13	1491
14	1489
15	1491
0	1494
1	1494
2	1499
3	1503
4	1505
5	1509
6	1514
7	1514
8	1514
9	1520
10	1516
11	1519
12	1517
13	1517
14	1517
15	1520
0	1514
1	1511
2	1508
3	1504
4	1503
5	1498
6	1499
7	1493
8	1494
9	1492
10	1501
11	1491
12	1492
13	1493
14	1495
15	1495
0	1503
1	1503
2	1509
3	1510
4	1511
5	1517
6	1516
7	1518
8	1520
9	1519
10	1519
11	1517
12	1519
13	1519
14	1518
15	1514
0	1514
1	1505
2	1499
3	1501
4	1493
5	1493
6	1491
7	1493
8	1494
9	1490
10	1492
11	1490
12	1491
13	1494
14	1498
15	1501
0	1504
1	1505
2	1511
3	1510
4	1513
5	1520
6	1515
7	1519
8	1517
9	1514
10	1520
11	1514
12	1511
13	1514
14	1506
15	1502
0	1497
1	1499
2	1493
3	1490
4	1491
5	1493
6	1494
7	1497
8	1491
9	1491
10	1493
11	1501
12	1501
13	1500
14	1502
15	1503
0	1504
1	1506
2	1509
3	1511
4	1515
5	1517
6	1514
7	1517
8	1517
9	1519
10	1520
11	1517
12	1514
13	1511
14	1510
15	1507
0	1506
1	1502
2	1498
3	1498
4	1499
5	1494
6	1492
7	1495
8	1493
9	1493
10	1490
11	1492
12	1495
13	1495
14	1497
15	1494
0	1497
1	1498
2	1501
3	1505
4	1505
5	1509
6	1518
7	1514
8	1514
9	1517
10	1518
11	1519
12	1514
13	1515
14	1514
15	1514
0	1505
1	1504
2	1503
3	1506
4	1498
5	1502
6	1495
7	1495
8	1498
9	1494
10	1498
11	1500
12	1501
13	1497
14	1491
15	1493
0	1493
1	1498
2	1497
3	1499
4	1500
5	1503
6	1503
7	1511
8	1511
9	1512
10	1515
11	1510
12	1511
13	1508
14	1507
15	1509
0	1504
1	1503
2	1501
3	1499
4	1500
5	1498
6	1495
7	1498
8	1499
9	1494
10	1495
11	1494
12	1499
13	1501
14	1507
15	1509
0	1514
1	1517
2	1520
3	1521
4	1520
5	1520
6	1520
7	1520
8	1521
9	1520
10	1520
11	1517
12	1514
13	1511
14	1509
15	1507
0	1505
1	1505
2	1504
3	1504
4	1505
5	1511
6	1514
7	1516
8	1517
9	1518
10	1520
11	1519
12	1523
13	1520
14	1521
15	1522
0	1521
1	1523
2	1523
3	1525
4	1523
5	1522
6	1521
7	1520
8	1518
9	1520
10	1515
11	1513
12	1510
13	1511
14	1509
15	1513
0	1505
1	1505
2	1504
3	1503
4	1503
5	1504
6	1508
7	1510
