#bitalino_nseq	bitalino_raw_A1
0	532
1	514
2	502
3	510
4	525
5	524
6	517
7	512
8	505
9	495
10	492
11	489
12	482
13	477
14	483
15	487
0	486
1	482
2	483
3	483
4	485
5	469
6	459
7	461
8	480
9	510
10	548
11	554
12	525
13	499
14	484
15	497
0	518
1	538
2	540
3	531
4	561
5	681
6	830
7	912
8	933
9	924
10	898
11	855
12	751
13	449
14	252
15	149
0	86
1	50
2	29
3	17
4	10
5	7
6	9
7	11
8	36
9	408
10	679
11	806
12	844
13	821
14	768
15	707
0	601
1	339
2	198
3	122
4	76
5	44
6	25
7	15
8	9
9	6
10	7
11	15
12	26
13	35
14	39
15	28
0	20
1	30
2	29
3	35
4	63
5	74
6	103
7	142
8	170
9	160
10	203
11	287
12	342
13	342
14	327
15	326
0	370
1	398
2	395
3	364
4	322
5	299
6	278
7	291
8	268
9	244
10	244
11	255
12	255
13	236
14	219
15	202
0	212
1	254
2	284
3	326
4	364
5	395
6	405
7	399
8	351
9	336
10	385
11	372
12	337
13	303
14	294
15	303
0	327
1	324
2	328
3	326
4	340
5	341
6	348
7	317
8	295
9	351
10	410
11	432
12	441
13	439
14	450
15	498
0	559
1	620
2	645
3	664
4	688
5	750
6	781
7	750
8	724
9	729
10	681
11	593
12	544
13	513
14	487
15	447
0	430
1	451
2	446
3	415
4	415
5	428
6	374
7	356
8	400
9	418
10	381
11	351
12	342
13	378
14	419
15	450
0	450
1	473
2	496
3	504
4	519
5	497
6	473
7	527
8	550
9	577
10	545
11	472
12	414
13	390
14	400
15	440
0	475
1	446
2	432
3	408
4	397
5	363
6	327
7	313
8	306
9	310
10	301
11	297
12	308
13	332
14	353
15	369
0	401
1	430
2	450
3	473
4	472
5	438
6	423
7	476
8	529
9	542
10	508
11	470
12	446
13	433
14	421
15	414
0	431
1	435
2	438
3	443
4	435
5	399
6	381
7	419
8	446
9	459
10	457
11	451
12	473
13	510
14	546
15	565
0	583
1	607
2	605
3	587
4	544
5	512
6	548
7	587
8	587
9	515
10	442
11	407
12	401
13	376
14	371
15	374
0	372
1	378
2	387
3	402
4	399
5	369
6	407
7	448
8	465
9	475
10	471
11	475
12	498
13	523
14	529
15	557
0	589
1	623
2	634
3	630
4	588
5	559
6	625
7	646
8	619
9	578
10	562
11	610
12	665
13	694
14	689
15	666
0	638
1	604
2	591
3	599
4	547
5	528
6	513
7	473
8	407
9	362
10	343
11	312
12	304
13	293
14	283
15	288
0	301
1	327
2	351
3	327
4	317
5	377
6	399
7	415
8	420
9	423
10	468
11	496
12	513
13	517
14	539
15	568
0	561
1	540
2	498
3	452
4	458
5	473
6	451
7	409
8	372
9	361
10	375
11	391
12	395
13	407
14	436
15	468
0	502
1	561
2	572
3	564
4	622
5	633
6	612
7	564
8	528
9	533
10	555
11	546
12	537
13	555
14	546
15	512
0	494
1	449
2	409
3	430
4	444
5	434
6	420
7	414
8	411
9	410
10	409
11	404
12	422
13	476
14	502
15	499
0	484
1	468
2	451
3	496
4	528
5	550
6	536
7	498
8	485
9	492
10	516
11	528
12	524
13	527
14	500
15	478
0	452
1	419
2	408
3	410
4	396
5	381
6	368
7	356
8	355
9	364
10	370
11	388
12	391
13	435
14	471
15	486
0	497
1	475
2	455
3	523
4	585
5	621
6	615
7	568
8	536
9	547
10	545
11	541
12	520
13	529
14	564
15	584
0	608
1	595
2	560
3	574
4	653
5	681
6	639
7	583
8	547
9	526
10	493
11	464
12	456
13	445
14	449
15	444
0	452
1	447
2	425
3	436
4	483
5	513
6	499
7	464
8	444
9	486
10	543
11	551
12	573
13	583
14	598
15	596
0	585
1	537
2	484
3	536
4	575
5	581
6	543
7	518
8	520
9	546
10	540
11	551
12	570
13	569
14	550
15	516
0	454
1	437
2	492
3	480
4	421
5	370
6	337
7	327
8	344
9	345
10	382
11	437
12	497
13	530
14	530
15	513
0	464
1	508
2	600
3	633
4	607
5	561
6	541
7	554
8	580
9	583
10	574
11	579
12	585
13	571
14	551
15	496
0	443
1	474
2	503
3	484
4	427
5	390
6	391
7	410
8	419
9	427
10	398
11	410
12	434
13	436
14	450
15	446
0	438
1	537
2	605
3	605
4	589
5	557
6	532
7	572
8	575
9	564
10	558
11	585
12	598
13	590
14	570
15	514
0	494
1	563
2	584
3	540
4	465
5	419
6	406
7	381
8	371
9	367
10	359
11	375
12	363
13	354
14	362
15	338
0	363
1	457
2	508
3	527
4	503
5	462
6	487
7	547
8	565
9	559
10	556
11	548
12	530
13	525
14	488
15	431
0	467
1	466
2	439
3	400
4	369
5	356
6	368
7	378
8	382
9	403
10	436
11	480
12	504
13	517
14	480
15	443
0	478
1	568
2	606
3	588
4	524
5	490
6	512
7	543
8	550
9	550
10	570
11	582
12	560
13	542
14	480
15	436
0	431
1	483
2	519
3	480
4	416
5	376
6	395
7	437
8	443
9	412
10	410
11	440
12	485
13	502
14	512
15	500
0	483
1	523
2	601
3	634
4	624
5	585
6	535
7	510
8	492
9	483
10	513
11	519
12	531
13	544
14	541
15	557
0	530
1	465
2	447
3	495
4	524
5	504
6	460
7	431
8	443
9	484
10	510
11	540
12	566
13	587
14	599
15	598
0	578
1	550
2	546
3	630
4	645
5	633
6	577
7	542
8	545
9	544
10	514
11	484
12	455
13	461
14	449
15	425
0	396
1	370
2	418
3	467
4	476
5	433
6	411
7	423
8	469
9	494
10	463
11	448
12	437
13	458
14	462
15	462
0	432
1	402
2	440
3	503
4	544
5	562
6	543
7	514
8	501
9	498
10	505
11	491
12	483
13	467
14	444
15	412
0	394
1	390
2	389
3	401
4	411
5	417
6	423
7	430
8	433
9	432
10	433
11	431
12	430
13	433
14	438
15	446
0	455
1	466
2	473
3	479
4	482
5	487
6	491
7	499
8	504
9	509
10	515
11	523
12	534
13	538
14	539
15	538
0	530
1	520
2	510
3	503
4	495
5	489
6	483
7	482
8	483
9	483
10	483
11	480
12	474
13	478
14	479
15	483
0	481
1	477
2	475
3	462
4	449
5	440
6	446
7	463
8	476
9	483
10	490
11	498
12	507
13	510
14	512
15	506
0	495
1	485
2	480
3	475
4	472
5	470
