#scientisst_nseq	scientisst_raw_AI6
0	1516
1	1518
2	1514
3	1514
4	1516
5	1515
6	1518
7	1520
8	1523
9	1524
10	1522
11	1520
12	1519
13	1518
14	1518
15	1515
0	1520
1	1511
2	1510
3	1511
4	1515
5	1520
6	1519
7	1520
8	1520
9	1519
10	1521
11	1518
12	1517
13	1519
14	1514
15	1514
0	1515
1	1510
2	1515
3	1511
4	1511
5	1507
6	1511
7	1512
8	1511
9	1515
10	1519
11	1523
12	1530
13	1520
14	1520
15	1520
0	1519
1	1525
2	1521
3	1525
4	1523
5	1523
6	1528
7	1555
8	1584
9	1603
10	1603
11	1605
12	1610
13	1608
14	1606
15	1598
0	1584
1	1581
2	1574
3	1569
4	1559
5	1555
6	1552
7	1551
8	1550
9	1552
10	1552
11	1586
12	1600
13	1603
14	1605
15	1611
0	1611
1	1612
2	1609
3	1599
4	1597
5	1590
6	1586
7	1584
8	1577
9	1571
10	1566
11	1557
12	1552
13	1552
14	1552
15	1548
0	1552
1	1550
2	1551
3	1548
4	1545
5	1543
6	1547
7	1548
8	1556
9	1557
10	1558
11	1555
12	1561
13	1564
14	1562
15	1566
0	1566
1	1569
2	1570
3	1568
4	1571
5	1568
6	1567
7	1566
8	1561
9	1564
10	1554
11	1552
12	1550
13	1551
14	1547
15	1547
0	1547
1	1543
2	1545
3	1543
4	1546
5	1550
6	1551
7	1552
8	1551
9	1552
10	1552
11	1552
12	1552
13	1552
14	1551
15	1554
0	1550
1	1548
2	1552
3	1546
4	1551
5	1547
6	1552
7	1546
8	1547
9	1548
10	1547
11	1553
12	1553
13	1552
14	1552
15	1554
0	1556
1	1556
2	1559
3	1567
4	1565
5	1567
6	1568
7	1569
8	1570
9	1569
10	1570
11	1571
12	1581
13	1581
14	1582
15	1583
0	1579
1	1574
2	1571
3	1568
4	1563
5	1553
6	1552
7	1552
8	1550
9	1550
10	1555
11	1552
12	1560
13	1557
14	1559
15	1555
0	1554
1	1558
2	1566
3	1559
4	1560
5	1559
6	1560
7	1565
8	1566
9	1568
10	1570
11	1570
12	1577
13	1577
14	1574
15	1572
0	1571
1	1577
2	1577
3	1578
4	1568
5	1561
6	1559
7	1557
8	1549
9	1543
10	1535
11	1530
12	1543
13	1531
14	1532
15	1535
0	1541
1	1546
2	1547
3	1552
4	1550
5	1551
6	1551
7	1549
8	1552
9	1556
10	1558
11	1563
12	1563
13	1561
14	1555
15	1552
0	1549
1	1555
2	1552
3	1547
4	1545
5	1543
6	1542
7	1547
8	1542
9	1551
10	1547
11	1552
12	1552
13	1554
14	1553
15	1552
0	1555
1	1557
2	1557
3	1559
4	1559
5	1569
6	1558
7	1561
8	1563
9	1564
10	1565
11	1563
12	1552
13	1562
14	1553
15	1545
0	1543
1	1533
2	1542
3	1543
4	1535
5	1535
6	1535
7	1534
8	1534
9	1546
10	1542
11	1546
12	1545
13	1550
14	1551
15	1551
0	1551
1	1553
2	1558
3	1556
4	1562
5	1557
6	1556
7	1564
8	1565
9	1565
10	1568
11	1566
12	1566
13	1574
14	1571
15	1570
0	1570
1	1570
2	1570
3	1568
4	1568
5	1571
6	1568
7	1567
8	1565
9	1565
10	1553
11	1552
12	1545
13	1531
14	1526
15	1534
0	1535
1	1535
2	1533
3	1535
4	1535
5	1534
6	1546
7	1545
8	1545
9	1551
10	1552
11	1552
12	1553
13	1553
14	1561
15	1557
0	1562
1	1562
2	1555
3	1556
4	1553
5	1555
6	1553
7	1553
8	1550
9	1549
10	1542
11	1535
12	1535
13	1534
14	1543
15	1543
0	1545
1	1547
2	1552
3	1563
4	1565
5	1568
6	1571
7	1570
8	1571
9	1574
10	1570
11	1569
12	1572
13	1568
14	1569
15	1571
0	1570
1	1562
2	1559
3	1561
4	1558
5	1554
6	1551
7	1550
8	1548
9	1558
10	1552
11	1551
12	1550
13	1550
14	1552
15	1555
0	1552
1	1552
2	1552
3	1552
4	1557
5	1558
6	1560
7	1562
8	1562
9	1561
10	1563
11	1563
12	1562
13	1565
14	1561
15	1562
0	1557
1	1554
2	1553
3	1552
4	1546
5	1533
6	1525
7	1529
8	1531
9	1523
10	1520
11	1525
12	1525
13	1523
14	1533
15	1531
0	1533
1	1531
2	1535
3	1535
4	1550
5	1555
6	1558
7	1566
8	1567
9	1569
10	1566
11	1573
12	1571
13	1567
14	1570
15	1570
0	1571
1	1569
2	1571
3	1570
4	1572
5	1574
6	1578
7	1575
8	1575
9	1572
10	1570
11	1570
12	1561
13	1556
14	1561
15	1555
0	1553
1	1552
2	1552
3	1552
4	1554
5	1552
6	1552
7	1552
8	1563
9	1558
10	1554
11	1563
12	1562
13	1562
14	1566
15	1567
0	1568
1	1566
2	1567
3	1566
4	1568
5	1568
6	1568
7	1572
8	1575
9	1571
10	1571
11	1576
12	1569
13	1575
14	1573
15	1570
0	1567
1	1568
2	1561
3	1561
4	1557
5	1554
6	1552
7	1543
8	1535
9	1527
10	1525
11	1526
12	1534
13	1547
14	1551
15	1552
0	1552
1	1552
2	1557
3	1557
4	1564
5	1563
6	1569
7	1563
8	1563
9	1567
10	1566
11	1567
12	1567
13	1568
14	1567
15	1567
0	1569
1	1567
2	1562
3	1558
4	1558
5	1552
6	1547
7	1548
8	1547
9	1551
10	1533
11	1546
12	1546
13	1548
14	1551
15	1551
0	1549
1	1552
2	1559
3	1556
4	1559
5	1567
6	1566
7	1563
8	1566
9	1567
10	1567
11	1568
12	1566
13	1569
14	1570
15	1568
0	1567
1	1571
2	1571
3	1568
4	1570
5	1571
6	1566
7	1559
8	1552
9	1549
10	1547
11	1552
12	1555
13	1554
14	1549
15	1552
0	1552
1	1552
2	1554
3	1559
4	1561
5	1566
6	1565
7	1561
8	1565
9	1571
10	1573
11	1571
12	1568
13	1566
14	1562
15	1558
0	1560
1	1566
2	1558
3	1555
4	1551
5	1546
6	1535
7	1533
8	1535
9	1529
10	1531
11	1545
12	1546
13	1547
14	1550
15	1552
0	1552
1	1555
2	1561
3	1569
4	1567
5	1568
6	1568
7	1567
8	1571
9	1562
10	1565
11	1565
12	1571
13	1568
14	1565
15	1562
0	1557
1	1560
2	1567
3	1567
4	1563
5	1563
6	1555
7	1552
8	1552
9	1552
10	1552
11	1552
12	1558
13	1553
14	1559
15	1558
0	1563
1	1559
2	1567
3	1573
4	1569
5	1568
6	1568
7	1567
8	1567
9	1567
10	1564
11	1558
12	1562
13	1563
14	1566
15	1564
0	1559
1	1557
2	1562
3	1554
4	1558
5	1555
6	1556
7	1561
8	1562
9	1559
10	1565
11	1565
12	1564
13	1567
14	1568
15	1569
0	1571
1	1571
2	1578
3	1578
4	1583
5	1584
6	1584
7	1584
8	1583
9	1579
10	1582
11	1579
12	1578
13	1578
14	1577
15	1569
0	1566
1	1567
2	1556
3	1557
4	1555
5	1552
6	1552
7	1550
8	1547
9	1549
10	1552
11	1552
12	1552
13	1552
14	1558
15	1555
0	1557
1	1562
2	1556
3	1563
4	1561
5	1567
6	1567
7	1571
8	1569
9	1569
10	1566
11	1564
12	1564
13	1562
14	1561
15	1558
0	1559
1	1552
2	1550
3	1549
4	1552
5	1552
6	1551
7	1546
8	1546
9	1546
10	1549
11	1547
12	1552
13	1549
14	1549
15	1547
0	1549
1	1543
2	1549
3	1546
4	1549
5	1551
6	1546
7	1547
8	1552
9	1550
10	1549
11	1552
12	1551
13	1552
14	1555
15	1553
0	1554
1	1554
2	1552
3	1552
4	1552
5	1552
6	1554
7	1550
8	1550
9	1549
10	1547
11	1548
12	1547
13	1552
