#bitalino_nseq	bitalino_raw_A1
0	468
1	456
2	452
3	448
4	447
5	448
6	450
7	455
8	470
9	489
10	508
11	529
12	548
13	545
14	526
15	509
0	497
1	511
2	722
3	852
4	915
5	909
6	866
7	813
8	756
9	662
10	592
11	515
12	407
13	308
14	239
15	180
0	125
1	85
2	49
3	29
4	17
5	10
6	6
7	5
8	71
9	467
10	709
11	800
12	819
13	800
14	769
15	738
0	698
1	593
2	479
3	400
4	301
5	208
6	135
7	78
8	44
9	26
10	15
11	12
12	9
13	21
14	31
15	46
0	65
1	83
2	97
3	105
4	115
5	127
6	142
7	156
8	169
9	184
10	199
11	218
12	251
13	280
14	306
15	325
0	332
1	337
2	342
3	351
4	358
5	372
6	398
7	413
8	411
9	403
10	389
11	375
12	370
13	369
14	372
15	371
0	370
1	367
2	364
3	367
4	369
5	370
6	372
7	376
8	379
9	383
10	388
11	391
12	395
13	401
14	409
15	417
0	431
1	446
2	464
3	475
4	473
5	468
6	459
7	445
8	428
9	417
10	403
11	385
12	371
13	366
14	368
15	374
0	380
1	395
2	411
3	424
4	432
5	430
6	427
7	424
8	425
9	441
10	459
11	471
12	478
13	486
14	492
15	497
0	502
1	512
2	521
3	522
4	511
5	492
6	472
7	452
8	434
9	415
10	396
11	378
12	367
13	364
14	368
15	374
0	378
1	376
2	378
3	381
4	386
5	393
6	403
7	422
8	439
9	453
10	467
11	477
12	484
13	490
14	495
15	504
0	509
1	505
2	498
3	487
4	483
5	477
6	475
7	469
8	464
9	449
10	430
11	414
12	408
13	409
14	399
15	384
0	376
1	377
2	384
3	395
4	406
5	415
6	425
7	433
8	441
9	451
10	463
11	476
12	487
13	500
14	514
15	523
0	531
1	537
2	543
3	543
4	540
5	528
6	518
7	510
8	498
9	478
10	459
11	447
12	439
13	432
14	427
15	424
0	421
1	420
2	422
3	427
4	431
5	431
6	428
7	425
8	428
9	440
10	448
11	459
12	472
13	482
14	492
15	504
0	513
1	520
2	530
3	537
4	543
5	548
6	551
7	555
8	560
9	552
10	533
11	511
12	492
13	475
14	460
15	448
0	440
1	434
2	430
3	432
4	435
5	434
6	433
7	432
8	434
9	436
10	440
11	441
12	440
13	446
14	453
15	461
0	464
1	472
2	483
3	495
4	509
5	526
6	538
7	545
8	547
9	552
10	556
11	561
12	563
13	562
14	557
15	550
0	548
1	549
2	541
