#scientisst_nseq	scientisst_raw_AI6
0	1509
1	1511
2	1509
3	1510
4	1506
5	1510
6	1511
7	1518
8	1518
9	1520
10	1520
11	1523
12	1527
13	1526
14	1530
15	1529
0	1527
1	1529
2	1531
3	1534
4	1535
5	1531
6	1522
7	1520
8	1521
9	1522
10	1520
11	1519
12	1519
13	1520
14	1517
15	1518
0	1520
1	1520
2	1523
3	1523
4	1522
5	1527
6	1521
7	1520
8	1559
9	1584
10	1594
11	1600
12	1600
13	1600
14	1600
15	1600
0	1600
1	1597
2	1591
3	1585
4	1583
5	1574
6	1568
7	1563
8	1551
9	1545
10	1535
11	1535
12	1531
13	1530
14	1527
15	1577
0	1594
1	1600
2	1600
3	1603
4	1603
5	1602
6	1603
7	1603
8	1600
9	1598
10	1590
11	1583
12	1574
13	1565
14	1559
15	1551
0	1546
1	1543
2	1547
3	1535
4	1535
5	1534
6	1531
7	1531
8	1534
9	1527
10	1529
11	1530
12	1532
13	1525
14	1527
15	1527
0	1527
1	1527
2	1530
3	1535
4	1545
5	1552
6	1547
7	1550
8	1550
9	1552
10	1552
11	1549
12	1552
13	1552
14	1549
15	1552
0	1546
1	1547
2	1548
3	1546
4	1549
5	1552
6	1545
7	1543
8	1542
9	1535
10	1535
11	1541
12	1535
13	1544
14	1535
15	1533
0	1534
1	1533
2	1534
3	1533
4	1535
5	1535
6	1534
7	1535
8	1546
9	1549
10	1552
11	1552
12	1551
13	1552
14	1546
15	1535
0	1535
1	1533
2	1531
3	1534
4	1530
5	1531
6	1526
7	1530
8	1530
9	1527
10	1529
11	1527
12	1526
13	1523
14	1525
15	1533
0	1544
1	1535
2	1549
3	1544
4	1546
5	1545
6	1545
7	1549
8	1547
9	1552
10	1545
11	1552
12	1547
13	1545
14	1547
15	1534
0	1529
1	1521
2	1522
3	1521
4	1525
5	1529
6	1523
7	1525
8	1530
9	1523
10	1525
11	1525
12	1523
13	1522
14	1529
15	1535
0	1543
1	1533
2	1535
3	1535
4	1543
5	1545
6	1543
7	1545
8	1547
9	1545
10	1543
11	1545
12	1543
13	1542
14	1547
15	1543
0	1535
1	1533
2	1529
3	1535
4	1525
5	1527
6	1522
7	1520
8	1522
9	1522
10	1522
11	1523
12	1525
13	1523
14	1524
15	1531
0	1530
1	1532
2	1533
3	1546
4	1543
5	1543
6	1552
7	1547
8	1552
9	1547
10	1552
11	1546
12	1545
13	1543
14	1541
15	1534
0	1534
1	1529
