#scientisst_nseq	scientisst_raw_AI6	arduino_raw
0	1501	0
1	1506	0
2	1507	0
3	1509	0
4	1510	0
5	1519	0
6	1514	0
7	1511	0
8	1504	1
9	1506	1
10	1503	1
11	1502	1
12	1501	1
13	1503	1
14	1499	1
15	1499	1
0	1507	1
1	1506	1
2	1507	1
3	1520	1
4	1518	1
5	1529	1
6	1525	1
7	1523	1
8	1527	1
9	1522	1
10	1519	1
11	1515	1
12	1514	1
13	1515	1
14	1506	1
15	1501	1
0	1499	1
1	1497	1
2	1502	1
3	1502	1
4	1495	1
5	1497	1
6	1491	1
7	1497	1
8	1493	1
9	1491	1
10	1494	1
11	1493	0
12	1502	0
13	1516	0
14	1551	0
15	1577	0
0	1580	0
1	1584	0
2	1581	0
3	1579	0
4	1579	0
5	1577	0
6	1575	0
7	1577	0
8	1578	0
9	1571	0
10	1568	0
11	1566	0
12	1562	0
13	1553	0
14	1552	0
15	1550	0
0	1552	0
1	1535	0
2	1531	0
3	1523	0
4	1518	0
5	1509	0
6	1503	0
7	1494	0
8	1493	0
9	1489	0
10	1489	0
11	1527	0
12	1563	0
13	1580	0
14	1584	0
15	1583	0
0	1579	0
1	1576	0
2	1569	0
3	1567	0
4	1567	0
5	1566	0
6	1559	0
7	1558	0
8	1555	0
9	1551	0
10	1543	0
11	1535	0
12	1525	0
13	1520	0
14	1508	0
15	1502	0
0	1501	0
1	1495	0
2	1498	0
3	1494	0
4	1492	0
5	1495	0
6	1493	0
7	1493	0
8	1500	0
9	1505	0
10	1510	0
11	1517	0
12	1523	0
13	1525	0
14	1533	0
15	1530	0
0	1535	1
1	1535	1
2	1547	0
3	1550	1
4	1548	1
5	1550	1
6	1543	1
7	1535	1
8	1527	1
9	1523	1
10	1521	1
11	1520	1
12	1515	1
13	1513	1
14	1514	1
15	1504	1
0	1504	1
1	1504	1
2	1499	1
3	1497	1
4	1495	1
5	1503	1
6	1495	1
7	1499	1
8	1498	1
9	1501	1
10	1503	1
11	1511	1
12	1516	1
13	1522	1
14	1522	1
15	1526	1
0	1530	1
1	1535	1
2	1535	1
3	1547	1
4	1547	1
5	1549	1
6	1552	1
7	1553	1
8	1557	1
9	1558	0
10	1553	1
11	1557	1
12	1551	0
13	1551	0
14	1543	0
15	1533	0
0	1529	0
1	1525	0
2	1520	0
3	1518	0
4	1511	0
5	1509	0
6	1507	0
7	1503	0
8	1503	0
9	1504	0
10	1497	0
11	1495	0
12	1497	0
13	1493	0
14	1493	0
15	1498	0
0	1494	0
1	1495	0
2	1505	0
3	1506	0
4	1510	0
5	1519	0
6	1523	0
7	1524	0
8	1532	0
9	1543	0
10	1535	0
11	1552	0
12	1552	0
13	1552	0
14	1552	0
15	1552	0
0	1551	0
1	1547	0
2	1547	0
3	1535	0
4	1527	0
5	1533	0
6	1521	0
7	1520	0
8	1519	0
9	1514	0
10	1511	0
11	1508	0
12	1505	0
13	1505	0
14	1503	0
15	1504	0
0	1503	0
1	1502	0
2	1503	0
3	1503	0
4	1504	0
5	1505	0
6	1511	0
7	1510	0
8	1520	0
9	1523	0
10	1527	0
11	1530	0
12	1535	0
13	1534	0
14	1543	0
15	1546	0
0	1547	0
1	1547	0
2	1548	0
3	1535	0
4	1529	0
5	1529	0
6	1522	0
7	1520	0
8	1518	1
9	1511	1
10	1506	0
11	1501	1
12	1495	1
13	1497	1
14	1489	1
15	1489	1
0	1488	1
1	1489	1
2	1488	1
3	1488	1
4	1492	1
5	1488	1
6	1488	1
7	1495	1
8	1503	1
9	1503	1
10	1509	1
11	1514	1
12	1520	1
13	1522	1
14	1523	1
15	1529	1
0	1531	1
1	1535	1
2	1547	1
3	1547	1
4	1550	1
5	1549	1
6	1549	1
7	1546	1
8	1533	1
9	1530	1
10	1523	1
11	1521	1
12	1519	1
13	1520	1
14	1511	1
15	1510	1
0	1507	0
1	1505	1
2	1502	1
3	1498	0
4	1499	0
5	1498	0
6	1504	0
7	1499	0
8	1495	0
9	1498	0
10	1497	0
11	1501	0
12	1509	0
13	1511	0
14	1515	0
15	1522	0
0	1521	0
1	1526	0
2	1527	0
3	1543	0
4	1535	0
5	1535	0
6	1535	0
7	1544	0
8	1535	0
9	1533	0
10	1525	0
11	1523	0
12	1521	0
13	1517	0
14	1518	0
15	1503	0
0	1499	0
1	1499	0
2	1501	0
3	1492	0
4	1498	0
5	1493	0
6	1490	0
7	1492	0
8	1489	0
9	1490	0
10	1489	0
11	1503	0
12	1507	0
13	1508	0
14	1507	0
15	1515	0
0	1520	0
1	1520	0
2	1523	0
3	1525	0
4	1525	0
5	1526	0
6	1522	0
7	1520	0
8	1519	0
9	1515	0
10	1517	0
11	1510	0
12	1507	0
13	1501	0
