#bitalino_nseq	bitalino_raw_A1
0	463
1	444
2	431
3	415
4	403
5	398
6	391
7	391
8	394
9	396
10	401
11	408
12	415
13	423
14	433
15	460
0	599
1	784
2	886
3	916
4	888
5	828
6	758
7	694
8	629
9	579
10	528
11	477
12	441
13	408
14	368
15	336
0	307
1	275
2	251
3	236
4	209
5	181
6	166
7	157
8	146
9	142
10	144
11	152
12	167
13	189
14	436
15	699
0	824
1	839
2	798
3	743
4	671
5	571
6	493
7	434
8	382
9	334
10	292
11	248
12	208
13	187
14	170
15	153
0	140
1	126
2	123
3	131
4	143
5	160
6	178
7	199
8	218
9	237
10	259
11	285
12	321
13	364
14	397
15	421
0	436
1	445
2	450
3	455
4	461
5	464
6	467
7	468
8	459
9	443
10	424
11	402
12	385
13	374
14	365
15	359
0	351
1	340
2	332
3	326
4	324
5	324
6	329
7	335
8	340
9	347
10	355
11	368
12	388
13	413
14	441
15	467
0	488
1	505
2	518
3	530
4	542
5	554
6	562
7	565
8	566
9	564
10	560
11	555
12	542
13	518
14	492
15	465
0	443
1	427
2	415
3	402
4	390
5	379
6	364
7	349
8	336
9	330
10	324
11	325
12	330
13	336
14	340
15	344
0	350
1	356
2	364
3	373
4	387
5	409
6	436
7	460
8	480
9	500
10	521
11	538
12	550
13	561
14	567
15	566
0	560
1	550
2	531
3	509
4	486
5	464
6	446
7	432
8	421
9	412
10	402
11	389
12	373
13	358
14	352
15	353
0	354
1	355
2	358
3	364
4	372
5	379
6	387
7	398
8	410
9	424
10	446
11	474
12	499
13	520
14	539
15	554
0	558
1	556
2	557
3	559
4	548
5	525
6	499
7	474
8	454
9	436
10	415
11	390
12	370
13	345
14	327
15	322
0	325
1	332
2	342
3	351
4	357
5	365
6	372
7	380
8	387
9	400
10	428
11	460
12	486
13	506
14	526
15	544
0	556
1	561
2	561
3	560
4	559
5	560
6	557
7	551
8	537
9	512
10	486
11	461
12	443
13	427
14	412
15	398
0	384
1	371
2	359
3	350
4	344
5	342
6	346
7	353
8	362
9	369
10	377
11	386
12	391
13	402
14	418
15	434
0	448
1	462
2	473
3	483
4	493
5	500
6	504
7	507
8	509
9	507
10	502
11	491
12	478
13	461
14	442
15	425
0	406
1	387
2	369
3	355
4	348
5	350
6	356
7	361
8	378
9	396
10	416
11	439
12	454
13	468
14	483
15	493
0	507
1	523
2	528
3	514
4	500
5	488
6	486
7	481
8	476
9	469
10	458
11	441
12	423
13	408
14	395
15	383
0	371
1	358
2	351
3	350
4	353
5	363
6	378
7	387
8	389
9	389
10	384
11	387
12	398
13	409
14	425
15	444
0	458
1	470
2	476
3	476
4	475
5	470
6	460
7	452
8	444
9	437
10	431
11	421
12	412
13	406
14	400
15	403
0	406
1	403
2	403
3	412
