#scientisst_nseq	scientisst_raw_AI6
0	1523
1	1523
2	1520
3	1518
4	1518
5	1517
6	1518
7	1520
8	1519
9	1519
10	1517
11	1514
12	1515
13	1520
14	1526
15	1522
0	1526
1	1533
2	1534
3	1535
4	1545
5	1547
6	1552
7	1548
8	1552
9	1549
10	1545
11	1542
12	1543
13	1535
14	1535
15	1543
0	1535
1	1534
2	1529
3	1530
4	1524
5	1523
6	1525
7	1518
8	1520
9	1519
10	1520
11	1521
12	1523
13	1523
14	1527
15	1531
0	1535
1	1543
2	1533
3	1534
4	1532
5	1535
6	1546
7	1534
8	1543
9	1543
10	1547
11	1551
12	1551
13	1551
14	1551
15	1551
0	1550
1	1547
2	1548
3	1535
4	1531
5	1522
6	1527
7	1521
8	1521
9	1520
10	1519
11	1521
12	1520
13	1517
14	1519
15	1519
0	1521
1	1525
2	1530
3	1534
4	1543
5	1552
6	1552
7	1546
8	1551
9	1548
10	1552
11	1550
12	1551
13	1547
14	1546
15	1534
0	1529
1	1526
2	1520
3	1519
4	1515
5	1518
6	1515
7	1515
8	1516
9	1516
10	1517
11	1520
12	1520
13	1525
14	1525
15	1531
0	1533
1	1542
2	1551
3	1545
4	1549
5	1547
6	1546
7	1547
8	1547
9	1543
10	1535
11	1533
12	1533
13	1526
14	1522
15	1520
0	1520
1	1519
2	1519
3	1519
4	1520
5	1520
6	1522
7	1522
8	1524
9	1527
10	1530
11	1535
12	1550
13	1546
14	1550
15	1551
0	1545
1	1543
2	1535
3	1535
4	1525
5	1529
6	1523
7	1520
8	1518
9	1520
10	1517
11	1514
12	1520
13	1520
14	1525
15	1530
0	1526
1	1533
2	1535
3	1535
4	1535
5	1543
6	1552
7	1550
8	1551
9	1550
10	1546
11	1543
12	1534
13	1530
14	1528
15	1523
0	1519
1	1517
2	1514
3	1515
4	1515
5	1514
6	1515
7	1517
8	1517
9	1515
10	1515
11	1520
12	1514
13	1509
14	1507
15	1520
0	1520
1	1520
2	1522
3	1526
4	1531
5	1532
6	1534
7	1535
8	1535
9	1543
10	1535
11	1535
12	1535
13	1551
14	1546
15	1549
0	1547
1	1552
2	1555
3	1552
4	1553
5	1554
6	1552
7	1552
8	1552
9	1551
10	1552
11	1545
12	1544
13	1533
14	1531
15	1523
0	1520
1	1519
2	1519
3	1513
4	1515
5	1518
6	1519
7	1518
8	1521
9	1523
10	1525
11	1523
12	1529
13	1534
14	1534
15	1549
0	1551
1	1547
2	1548
3	1552
4	1552
5	1551
6	1549
7	1551
8	1552
9	1552
10	1553
11	1552
12	1552
13	1553
14	1557
15	1555
0	1559
1	1554
2	1555
3	1554
4	1557
5	1561
6	1555
7	1553
8	1553
9	1552
10	1551
11	1550
12	1543
13	1529
14	1525
15	1523
0	1526
1	1520
2	1520
3	1522
4	1520
5	1522
6	1520
7	1520
8	1520
9	1520
10	1525
11	1526
12	1533
13	1535
14	1535
15	1545
0	1545
1	1548
2	1543
3	1547
4	1552
5	1547
6	1548
7	1550
8	1553
9	1552
10	1552
11	1552
12	1552
13	1551
14	1550
15	1550
0	1548
1	1547
2	1543
3	1545
4	1535
5	1533
6	1527
7	1527
8	1523
9	1523
10	1522
11	1521
12	1524
13	1521
14	1527
15	1530
0	1542
1	1544
2	1543
3	1546
4	1549
5	1550
6	1550
7	1549
8	1549
9	1547
10	1549
11	1545
12	1547
13	1545
14	1535
15	1534
0	1534
1	1525
2	1520
3	1520
4	1518
5	1515
6	1515
7	1516
8	1519
9	1518
10	1521
11	1520
12	1520
13	1520
14	1521
15	1522
0	1526
1	1535
2	1535
3	1547
4	1550
5	1549
6	1550
7	1551
8	1551
9	1552
10	1553
11	1552
12	1558
13	1554
14	1553
15	1553
0	1554
1	1552
2	1553
3	1549
4	1549
5	1551
6	1543
7	1535
8	1535
9	1534
10	1535
11	1532
12	1531
13	1529
14	1527
15	1526
0	1530
1	1530
2	1531
3	1535
4	1534
5	1547
6	1543
7	1545
8	1549
9	1549
10	1553
11	1552
12	1553
13	1553
14	1555
15	1562
0	1554
1	1552
2	1552
3	1550
4	1552
5	1552
6	1549
7	1549
8	1547
9	1547
10	1545
11	1545
12	1542
13	1526
14	1525
15	1523
0	1525
1	1527
2	1526
3	1525
4	1525
5	1529
6	1530
7	1531
8	1534
9	1535
10	1543
11	1549
12	1546
13	1546
14	1549
15	1550
0	1549
1	1552
2	1553
3	1549
4	1550
5	1550
6	1552
7	1551
8	1543
9	1545
10	1542
11	1547
12	1541
13	1535
14	1542
15	1535
0	1535
1	1547
2	1548
3	1543
4	1550
5	1547
6	1549
7	1551
8	1552
9	1550
10	1552
11	1551
12	1552
13	1552
14	1553
15	1552
0	1552
1	1551
2	1552
3	1549
4	1551
5	1543
6	1542
7	1534
8	1533
9	1533
10	1533
11	1524
12	1521
13	1521
14	1520
15	1523
0	1520
1	1522
2	1522
3	1523
4	1525
5	1535
6	1530
7	1534
8	1533
9	1546
10	1543
11	1548
12	1547
13	1552
14	1552
15	1553
0	1554
1	1553
2	1553
3	1552
4	1549
5	1549
6	1549
7	1549
8	1552
9	1547
10	1543
11	1535
12	1535
13	1533
14	1527
15	1531
0	1525
1	1523
2	1530
3	1524
4	1525
5	1530
6	1529
7	1531
8	1535
9	1535
10	1543
11	1550
12	1550
13	1552
14	1552
15	1552
0	1552
1	1552
2	1551
3	1547
4	1548
5	1542
6	1543
7	1547
8	1542
9	1546
10	1548
11	1535
12	1534
13	1533
14	1535
15	1535
0	1546
1	1546
2	1552
3	1552
