#scientisst_nseq	scientisst_raw_AI1	scientisst_raw_AI2	scientisst_raw_AI3	scientisst_raw_AI4	scientisst_raw_AI5	scientisst_raw_AI6
0	1906	0	944	754	779	1739
1	1904	0	943	755	781	1749
2	1904	0	946	761	784	1723
3	1904	0	945	754	784	1750
4	1903	0	949	756	784	1619
5	1901	0	949	762	783	1767
6	1902	0	946	753	786	1965
7	1900	0	943	754	784	1750
8	1900	0	943	753	783	1718
9	1901	0	945	753	782	1722
10	1906	0	949	755	781	1735
11	1904	0	942	752	782	1686
12	1904	0	946	753	784	1990
13	1905	0	947	752	784	1680
14	1906	0	946	756	784	1711
15	1907	0	945	759	784	1728
0	1914	0	944	757	783	3690
1	1909	0	948	752	785	1616
2	1910	0	946	752	781	1796
3	1911	0	945	752	776	1738
4	1911	0	943	755	782	1744
5	1911	0	944	752	781	1715
6	1918	0	944	754	780	2622
7	1911	0	950	753	780	1584
8	1913	0	944	752	784	1764
9	1910	0	944	752	784	1712
10	1913	0	948	756	784	1695
11	1905	0	946	753	783	1645
12	1914	0	945	753	781	1584
13	1904	0	942	752	777	1594
14	1904	0	946	754	783	1776
15	1904	0	953	753	781	1843
0	1904	0	943	752	781	1770
1	1904	0	945	761	780	1735
2	1905	0	944	752	782	1374
3	1905	0	946	755	783	1641
4	1906	0	944	755	784	1853
5	1911	0	950	755	784	1766
6	1909	0	945	754	782	1769
7	1917	0	944	756	784	1752
8	1908	0	944	754	781	1762
9	1917	0	945	757	784	1725
10	1909	0	944	752	784	1711
11	1909	0	944	755	783	1866
12	1909	0	948	753	781	1758
13	1917	0	944	754	784	1754
14	1909	0	944	759	784	1792
15	1911	0	942	753	782	3778
0	1913	0	944	756	784	1655
1	1917	0	945	753	784	1846
2	1909	0	947	752	782	1715
3	1909	0	944	757	781	1744
4	1911	0	943	752	784	1733
5	1904	0	945	755	783	1775
6	1903	0	944	753	784	2270
7	1907	0	942	752	780	1666
8	1904	0	942	753	781	1936
9	1904	0	944	752	776	1713
10	1904	0	945	759	779	1744
11	1907	0	945	759	784	1730
12	1908	0	944	752	784	1745
13	1909	0	948	754	784	1693
14	1914	0	944	752	780	1705
15	1915	0	944	752	781	1888
0	1912	0	945	754	784	1725
1	1911	0	945	755	786	1730
2	1913	0	943	755	781	1728
3	1910	0	943	756	783	1735
4	1909	0	946	752	784	1662
5	1915	0	944	752	781	1664
6	1915	0	947	755	784	1866
7	1915	0	951	752	784	1717
8	1907	0	944	754	782	1724
9	1913	0	946	754	783	1712
10	1905	0	949	761	780	1730
11	1904	0	948	752	783	1766
12	1904	0	945	754	780	1674
13	1903	0	949	755	783	1924
14	1903	0	946	754	783	1694
15	1903	0	944	753	782	1737
0	1907	0	944	753	786	1775
1	1904	0	944	752	784	2715
2	1904	0	946	752	781	1648
3	1910	0	944	752	774	1891
4	1914	0	948	751	777	1765
5	1907	0	943	752	784	1746
6	1908	0	944	757	781	1717
7	1911	0	955	757	781	1733
8	1912	0	952	747	780	1154
9	1917	0	931	763	772	1650
10	1915	0	946	747	765	1823
11	1918	0	944	747	768	1651
12	1923	0	944	752	760	1714
13	1916	0	941	737	754	1726
14	1916	0	944	742	753	1545
15	1917	0	944	743	751	1542
0	1920	0	944	750	751	1827
1	1920	0	942	752	743	1724
2	1915	0	944	747	748	1715
3	1917	0	942	746	752	1690
4	1915	0	944	751	752	1760
5	1917	0	944	755	769	1632
6	1915	0	944	752	772	1749
7	1917	0	961	731	779	1887
8	1914	0	929	781	766	1760
9	1906	0	949	747	779	1649
10	1906	0	949	748	771	1381
11	1911	0	944	761	775	1634
12	1907	0	944	755	779	1824
13	1904	0	944	748	779	1842
14	1904	0	942	752	782	1810
15	1902	0	944	753	779	1775
0	1903	0	944	749	774	3777
1	1904	0	939	743	773	1677
2	1904	0	942	751	779	1974
3	1913	0	944	746	779	1683
4	1910	0	945	747	766	1755
5	1910	0	943	746	770	1712
6	1911	0	947	750	764	1196
7	1908	0	934	741	770	1669
8	1915	0	944	743	770	1903
9	1914	0	948	745	777	1733
10	1909	0	945	751	770	1739
11	1913	0	944	752	778	1787
12	1913	0	946	743	770	3775
13	1920	0	942	747	778	1643
14	1915	0	943	751	772	1830
15	1916	0	944	751	771	1717
0	1912	0	941	750	768	1735
1	1907	0	943	742	769	1729
2	1909	0	941	750	769	1801
3	1907	0	944	751	770	3776
4	1910	0	939	752	769	1664
5	1904	0	944	747	768	1910
6	1904	0	944	751	769	1730
7	1904	0	944	750	773	1757
8	1904	0	944	748	774	1730
9	1904	0	942	749	771	1755
10	1906	0	949	749	775	1283
11	1914	0	943	752	772	1710
12	1910	0	944	749	779	1981
13	1914	0	947	747	770	1707
14	1910	0	944	748	770	1741
15	1913	0	944	749	771	1739
0	1918	0	944	748	771	1762
1	1915	0	944	751	774	1492
2	1914	0	946	751	770	1629
3	1914	0	944	750	773	1776
4	1914	0	944	751	771	1789
5	1919	0	942	749	777	1744
6	1913	0	944	749	777	1754
7	1914	0	945	747	770	1766
8	1915	0	946	750	772	1775
9	1913	0	948	749	773	1091
10	1909	0	942	752	769	1665
11	1914	0	941	752	773	1905
12	1906	0	944	751	774	1697
13	1907	0	945	750	772	1728
14	1906	0	944	749	777	1730
15	1904	0	944	748	773	1728
0	1906	0	944	746	772	1533
1	1904	0	942	745	770	1616
2	1907	0	944	747	770	1808
3	1905	0	944	747	777	1906
4	1912	0	953	750	775	1712
5	1911	0	946	752	764	1671
6	1913	0	944	730	765	1726
7	1911	0	941	750	765	1741
8	1914	0	942	758	762	1653
9	1917	0	945	754	758	1633
10	1914	0	942	751	752	1778
11	1921	0	941	736	758	1763
12	1915	0	942	750	765	1734
13	1915	0	944	751	756	1727
14	1914	0	941	752	757	1807
15	1915	0	941	754	763	1827
0	1910	0	943	752	762	2557
1	1906	0	939	742	767	1702
2	1911	0	944	752	763	1893
3	1905	0	944	750	778	1759
4	1907	0	945	745	784	1697
5	1906	0	943	742	780	1712
6	1907	0	944	753	784	1695
7	1910	0	954	755	783	2086
8	1904	0	943	752	782	1636
9	1904	0	944	752	785	1962
10	1904	0	942	752	782	1730
11	1907	0	942	752	784	1729
12	1903	0	944	750	781	1687
13	1904	0	944	752	784	1328
14	1904	0	943	752	783	1591
15	1905	0	947	739	794	1793
0	1907	0	944	753	785	1834
1	1918	0	944	761	786	1643
2	1911	0	948	737	787	1632
3	1920	0	944	756	793	1682
4	1918	0	945	759	795	1776
5	1913	0	944	746	790	1611
6	1917	0	945	754	793	1875
7	1917	0	945	747	795	1741
