#bitalino_nseq	bitalino_raw_A1
0	460
1	455
2	453
3	453
4	454
5	461
6	465
7	472
8	476
9	487
10	502
11	518
12	546
13	650
14	814
15	903
0	953
1	975
2	957
3	910
4	856
5	809
6	745
7	587
8	448
9	310
10	176
11	101
12	59
13	34
14	20
15	12
0	7
1	7
2	11
3	19
4	33
5	225
6	578
7	771
8	876
9	927
10	911
11	876
12	840
13	801
14	769
15	654
0	478
1	374
2	286
3	189
4	108
5	62
6	35
7	20
8	12
9	7
10	4
11	7
12	12
13	22
14	33
15	39
0	45
1	61
2	75
3	93
4	109
5	123
6	137
7	152
8	164
9	191
10	209
11	228
12	256
13	273
14	289
15	311
0	310
1	316
2	337
3	354
4	365
5	356
6	363
7	371
8	371
9	369
10	356
11	342
12	325
13	341
14	367
15	366
0	360
1	368
2	396
3	425
4	445
5	461
6	470
7	490
8	510
9	519
10	528
11	524
12	524
13	515
14	480
15	457
0	439
1	429
2	433
3	437
4	429
5	409
6	390
7	368
8	347
9	335
10	336
11	345
12	360
13	380
14	414
15	452
0	489
1	520
2	529
3	537
4	540
5	541
6	550
7	567
8	559
9	515
10	499
11	495
12	491
13	476
14	468
15	453
0	440
1	427
2	417
3	408
4	394
5	389
6	389
7	397
8	416
9	449
10	478
11	515
12	566
13	635
14	673
15	690
0	694
1	689
2	680
3	664
4	597
5	483
6	419
7	387
8	380
9	396
10	431
11	455
12	479
13	502
14	507
15	499
0	485
1	464
2	464
3	470
4	464
5	470
6	492
7	516
8	527
9	550
10	577
11	580
12	564
13	529
14	494
15	463
0	452
1	449
2	458
3	471
4	488
5	510
6	532
7	563
8	583
9	601
10	609
11	600
12	575
13	550
14	542
15	543
0	543
1	549
2	551
3	546
4	543
5	553
6	563
7	546
8	524
9	496
10	459
11	425
12	400
13	380
14	384
15	414
0	449
1	484
2	515
3	537
4	552
5	547
6	514
7	481
8	474
9	487
10	496
11	486
12	484
13	501
14	504
15	521
0	554
1	557
2	536
3	492
4	451
5	420
6	405
7	404
8	396
9	406
10	432
11	464
12	507
13	538
14	546
15	536
0	518
1	500
2	486
3	473
4	458
5	441
6	446
7	476
8	497
9	515
10	526
11	528
12	519
13	513
14	502
15	497
0	492
1	519
2	535
3	534
4	536
5	540
6	534
7	514
8	496
9	469
10	444
11	409
12	393
13	399
14	414
15	436
0	455
1	478
2	487
3	486
4	473
5	457
6	436
7	435
8	433
9	415
10	408
11	418
12	459
13	508
14	547
15	550
0	477
1	472
2	487
3	498
4	549
5	583
6	621
7	653
8	669
9	667
10	650
11	640
12	628
13	618
14	604
15	618
0	618
1	535
2	475
3	453
4	460
5	487
6	504
7	473
8	419
9	395
10	415
