#scientisst_nseq	scientisst_raw_AI6
0	1515
1	1511
2	1504
3	1501
4	1494
5	1494
6	1493
7	1495
8	1493
9	1491
10	1494
11	1490
12	1494
13	1499
14	1506
15	1504
0	1507
1	1514
2	1513
3	1516
4	1517
5	1517
6	1518
7	1515
8	1514
9	1516
10	1517
11	1509
12	1507
13	1505
14	1503
15	1501
0	1502
1	1504
2	1504
3	1500
4	1497
5	1502
6	1507
7	1511
8	1520
9	1519
10	1520
11	1520
12	1520
13	1522
14	1520
15	1521
0	1521
1	1521
2	1519
3	1513
4	1514
5	1511
6	1515
7	1510
8	1507
9	1506
10	1505
11	1501
12	1502
13	1506
14	1504
15	1504
0	1510
1	1510
2	1515
3	1519
4	1519
5	1523
6	1523
7	1521
8	1521
9	1521
10	1523
11	1520
12	1520
13	1518
14	1514
15	1506
0	1503
1	1506
2	1501
3	1505
4	1501
5	1506
6	1502
7	1504
8	1507
9	1513
10	1523
11	1557
12	1578
13	1584
14	1593
15	1595
0	1598
1	1595
2	1595
3	1595
4	1600
5	1594
6	1590
7	1594
8	1587
9	1575
10	1569
11	1567
12	1560
13	1552
14	1535
15	1531
0	1521
1	1520
2	1531
3	1578
4	1590
5	1595
6	1600
7	1600
8	1598
9	1599
10	1599
11	1599
12	1599
13	1598
14	1597
15	1594
0	1588
1	1585
2	1582
3	1574
4	1573
5	1562
6	1555
7	1552
8	1547
9	1543
10	1534
11	1527
12	1521
13	1519
14	1520
15	1518
0	1520
1	1518
2	1518
3	1507
4	1513
5	1515
6	1514
7	1509
8	1516
9	1520
10	1520
11	1520
12	1522
13	1528
14	1531
15	1529
0	1533
1	1535
2	1535
3	1542
4	1550
5	1553
6	1552
7	1549
8	1551
9	1552
10	1553
11	1552
12	1543
13	1535
14	1533
15	1535
0	1526
1	1531
2	1530
3	1531
4	1535
5	1535
6	1535
7	1545
8	1535
9	1534
10	1548
11	1543
12	1546
13	1547
14	1547
15	1551
0	1552
1	1551
2	1553
3	1548
4	1548
5	1535
6	1533
7	1530
8	1527
9	1526
10	1523
11	1526
12	1526
13	1525
14	1531
15	1544
0	1535
1	1535
2	1547
3	1533
4	1533
5	1542
6	1545
7	1549
8	1546
9	1546
10	1548
11	1548
12	1550
13	1548
14	1543
15	1535
0	1535
1	1534
2	1527
3	1525
4	1522
5	1522
6	1525
7	1529
8	1534
9	1533
10	1535
11	1545
12	1549
13	1548
14	1545
15	1547
0	1552
1	1549
2	1551
3	1534
4	1521
5	1515
6	1508
7	1509
8	1513
9	1515
10	1520
11	1526
12	1527
13	1531
14	1525
15	1530
0	1531
1	1531
2	1531
3	1535
4	1527
5	1527
6	1529
7	1535
8	1531
9	1529
10	1526
11	1526
12	1520
13	1516
14	1519
15	1521
0	1523
1	1522
2	1523
3	1534
4	1543
5	1550
6	1552
7	1552
8	1553
9	1559
10	1557
11	1558
12	1559
13	1554
14	1553
15	1553
0	1552
1	1549
2	1551
3	1552
4	1545
5	1542
6	1544
7	1529
8	1520
9	1510
10	1516
11	1515
12	1515
13	1519
14	1523
15	1535
0	1535
1	1543
2	1547
3	1548
4	1552
5	1552
6	1552
7	1552
8	1552
9	1547
10	1544
11	1543
12	1551
13	1547
14	1546
15	1535
0	1534
1	1529
2	1522
3	1513
4	1514
5	1517
6	1519
7	1518
8	1521
9	1531
10	1535
11	1549
12	1547
13	1551
14	1550
15	1552
0	1554
1	1547
2	1550
3	1542
4	1535
5	1534
6	1529
7	1534
8	1525
9	1523
10	1523
11	1521
12	1525
13	1522
14	1520
15	1527
0	1527
1	1535
2	1548
3	1552
4	1553
5	1559
6	1552
7	1552
8	1552
9	1552
10	1552
11	1550
12	1546
13	1535
14	1535
15	1542
0	1532
1	1530
2	1530
3	1529
4	1524
5	1520
6	1515
7	1513
8	1510
9	1520
10	1527
11	1552
12	1553
13	1552
14	1549
15	1551
0	1548
1	1547
2	1549
3	1552
4	1552
5	1552
6	1553
7	1553
8	1557
9	1555
10	1555
11	1552
12	1552
13	1552
14	1558
15	1555
0	1558
1	1557
2	1557
3	1559
4	1565
5	1559
6	1562
7	1563
8	1563
9	1560
10	1563
11	1555
12	1554
13	1553
14	1553
15	1554
0	1553
1	1553
2	1552
3	1549
4	1530
5	1523
6	1527
7	1527
8	1525
9	1531
10	1535
11	1534
12	1535
13	1547
14	1534
15	1527
0	1525
1	1520
2	1520
3	1519
4	1514
5	1514
6	1515
7	1515
8	1520
9	1520
10	1516
11	1516
12	1520
13	1519
14	1521
15	1528
0	1535
1	1550
2	1546
3	1552
4	1564
5	1557
6	1565
7	1559
8	1557
9	1562
10	1566
11	1559
12	1557
13	1557
14	1557
15	1552
0	1551
1	1547
2	1534
3	1529
4	1522
5	1520
6	1507
7	1507
8	1516
9	1520
10	1525
11	1535
12	1552
13	1553
14	1555
15	1558
0	1559
1	1555
2	1558
3	1554
4	1555
5	1555
6	1553
7	1552
8	1552
9	1547
10	1542
11	1543
12	1532
13	1526
14	1522
15	1520
0	1520
1	1520
2	1521
3	1525
4	1532
5	1529
6	1528
7	1530
8	1530
9	1526
10	1525
11	1520
12	1517
13	1514
14	1514
15	1520
0	1521
1	1523
2	1531
3	1530
4	1533
5	1544
6	1542
7	1542
8	1543
9	1552
10	1552
11	1554
12	1559
13	1567
14	1565
15	1562
0	1558
1	1557
2	1552
3	1554
4	1546
5	1531
6	1529
7	1520
8	1520
9	1522
10	1533
11	1528
12	1541
13	1533
14	1531
15	1531
0	1534
1	1542
2	1535
3	1547
4	1552
5	1555
6	1559
7	1559
8	1557
9	1558
10	1552
11	1554
12	1551
13	1543
14	1531
15	1521
0	1521
1	1518
2	1520
3	1520
4	1517
5	1518
6	1520
7	1513
8	1517
9	1520
10	1527
11	1534
12	1547
13	1553
14	1557
15	1566
0	1562
1	1562
2	1558
3	1557
4	1566
5	1561
6	1560
7	1561
8	1559
9	1554
10	1552
11	1551
12	1548
13	1535
14	1530
15	1527
0	1531
1	1523
2	1520
3	1522
4	1526
5	1531
6	1543
7	1553
8	1558
9	1564
10	1565
11	1566
12	1565
13	1566
14	1565
15	1569
0	1565
1	1566
2	1562
3	1558
4	1552
5	1546
6	1543
7	1533
8	1529
9	1520
10	1517
11	1517
12	1509
13	1506
14	1507
15	1519
0	1520
1	1527
2	1545
3	1558
4	1558
5	1558
6	1556
7	1557
8	1555
9	1559
10	1562
11	1563
12	1559
13	1562
14	1557
15	1554
0	1550
1	1547
2	1534
3	1527
4	1520
5	1509
6	1505
7	1513
8	1506
9	1513
10	1510
11	1520
12	1525
13	1532
14	1548
15	1549
0	1549
1	1550
2	1552
3	1552
4	1555
5	1552
6	1552
7	1551
8	1554
9	1552
10	1552
11	1552
12	1551
13	1552
14	1552
15	1547
0	1546
1	1545
2	1543
3	1545
4	1543
5	1550
6	1534
7	1527
8	1520
9	1524
10	1527
11	1528
12	1531
13	1534
14	1535
15	1535
0	1535
1	1545
2	1545
3	1543
4	1547
5	1542
6	1535
7	1550
8	1545
9	1547
10	1547
11	1552
12	1553
13	1554
14	1550
15	1546
0	1547
1	1549
2	1552
3	1552
4	1550
5	1548
6	1551
7	1550
8	1548
9	1548
10	1550
11	1550
12	1550
13	1552
14	1545
15	1543
0	1546
1	1549
2	1549
3	1551
4	1552
5	1555
6	1552
7	1548
8	1543
9	1543
10	1531
11	1520
12	1518
13	1515
14	1505
15	1511
0	1514
1	1520
2	1520
3	1523
4	1523
5	1526
6	1534
7	1525
8	1527
9	1530
10	1534
11	1535
12	1543
13	1547
14	1553
15	1559
0	1555
1	1554
2	1555
3	1552
4	1549
5	1543
6	1527
7	1516
8	1509
9	1510
10	1509
11	1509
12	1513
13	1510
14	1507
15	1509
0	1513
1	1511
2	1515
3	1515
4	1521
5	1519
6	1520
7	1522
8	1521
9	1525
10	1526
11	1527
12	1532
13	1523
14	1523
15	1520
0	1520
1	1517
2	1515
3	1514
4	1517
5	1517
6	1516
7	1518
8	1520
9	1520
10	1523
11	1523
12	1523
13	1525
14	1521
15	1523
0	1522
1	1523
