#bitalino_nseq	bitalino_raw_A1
0	596
1	568
2	545
3	525
4	501
5	486
6	465
7	451
8	447
9	444
10	442
11	442
12	458
13	646
14	812
15	896
0	923
1	909
2	873
3	821
4	663
5	488
6	344
7	220
8	130
9	75
10	44
11	25
12	15
13	10
14	7
15	6
0	258
1	598
2	773
3	859
4	889
5	871
6	793
7	577
8	322
9	182
10	105
11	60
12	35
13	20
14	26
15	43
0	60
1	73
2	84
3	92
4	105
5	122
6	140
7	149
8	153
9	161
10	170
11	177
12	190
13	206
14	217
15	220
0	229
1	243
2	261
3	283
4	305
5	337
6	367
7	381
8	403
9	437
10	483
11	497
12	477
13	457
14	429
15	395
0	355
1	324
2	320
3	324
4	318
5	311
6	310
7	310
8	313
9	319
10	331
11	340
12	344
13	347
14	344
15	327
0	315
1	312
2	321
3	341
4	375
5	416
6	446
7	466
8	479
9	504
10	524
11	544
12	552
13	555
14	556
15	562
0	572
1	588
2	602
3	621
4	617
5	598
6	587
7	609
8	615
9	600
10	575
11	548
12	493
13	445
14	420
15	404
0	401
1	399
2	386
3	361
4	352
5	352
6	361
7	383
8	404
9	424
10	440
11	439
12	439
13	454
14	464
15	482
0	498
1	499
2	475
3	446
4	428
5	418
6	416
7	404
8	393
9	388
10	393
11	399
12	411
13	425
14	455
15	463
0	440
1	427
2	433
3	451
4	454
5	455
6	467
7	470
8	472
9	466
10	477
11	482
12	499
13	509
14	529
15	570
0	600
1	624
2	655
3	671
4	672
5	669
6	651
7	614
8	587
9	572
10	542
11	504
12	478
13	460
14	432
15	417
0	407
1	407
2	414
3	425
4	430
5	428
6	418
7	410
8	414
9	427
10	442
11	449
12	442
13	428
14	428
15	444
0	472
1	498
2	512
3	522
4	547
5	579
6	587
7	594
8	643
9	699
10	734
11	724
12	691
13	671
14	630
15	579
0	522
1	471
2	446
3	434
4	425
5	404
6	385
7	367
8	354
9	348
10	358
11	394
12	411
13	398
14	377
15	366
0	380
1	405
2	428
3	458
4	499
5	544
6	581
7	605
8	612
9	608
10	609
11	641
12	684
13	726
14	738
15	743
0	764
1	788
2	776
3	719
4	646
5	570
6	501
7	434
8	393
9	385
10	391
11	377
12	363
13	356
14	352
15	353
0	356
1	381
2	396
3	399
4	395
5	391
6	401
7	406
8	404
9	412
10	422
11	433
12	461
13	480
14	498
15	509
0	529
1	570
2	618
3	640
4	641
5	642
6	634
7	615
8	594
9	563
10	517
11	467
12	420
13	389
14	379
15	369
0	360
1	357
2	354
3	349
4	351
5	375
6	411
7	427
8	427
9	426
10	427
11	427
12	444
13	459
14	469
15	465
0	467
1	480
2	480
3	472
4	473
5	479
6	484
7	472
8	484
9	516
10	530
11	515
12	481
13	452
14	448
15	439
0	434
1	438
2	445
3	459
4	478
5	495
6	513
7	552
8	601
9	607
10	582
11	566
12	583
13	589
14	621
15	638
0	643
1	637
2	615
3	568
4	541
5	568
6	591
7	617
8	627
9	626
10	624
11	634
12	615
13	556
14	518
15	498
0	492
1	497
2	488
3	464
4	454
5	435
6	407
7	388
8	376
9	392
10	430
11	477
12	519
13	543
14	563
15	597
0	659
1	711
2	705
3	643
4	585
5	588
6	605
7	606
8	590
9	565
10	522
11	489
12	484
13	519
14	560
15	577
0	565
1	548
2	544
3	539
4	532
5	491
6	434
7	408
8	419
9	432
10	447
11	457
12	447
13	412
14	397
15	426
0	472
1	521
2	545
3	534
4	556
5	624
6	681
7	682
8	629
9	563
10	517
11	489
12	467
13	448
14	433
15	403
0	361
1	352
2	372
3	395
4	424
5	450
6	509
7	561
8	587
9	603
10	583
11	512
12	440
13	409
14	411
15	405
0	411
1	405
2	399
3	392
4	403
5	455
6	503
7	527
8	528
9	523
10	532
11	571
12	624
13	646
14	636
15	596
0	562
1	550
2	544
3	537
4	524
5	497
6	476
7	484
8	512
9	551
10	583
11	591
12	592
13	603
14	622
15	636
0	602
1	551
2	516
3	481
4	455
5	429
6	397
7	360
8	325
9	324
10	363
11	408
12	432
13	427
14	423
15	422
0	427
1	424
2	393
3	360
4	357
5	363
6	376
7	377
8	368
9	367
10	369
11	375
12	409
13	464
14	511
15	539
0	561
1	600
2	632
3	658
4	646
5	580
6	513
7	464
8	432
9	411
10	393
11	376
12	351
13	327
14	312
15	342
0	395
1	436
2	461
3	472
4	481
5	521
6	567
7	593
8	580
9	544
10	511
11	526
12	561
13	577
14	576
15	572
0	563
1	554
2	540
3	545
4	563
5	568
6	553
7	548
8	497
9	439
10	391
11	361
12	349
13	356
14	368
15	371
0	368
1	362
2	367
3	407
4	466
5	512
6	532
7	541
8	567
9	600
10	651
11	668
12	642
13	566
14	506
15	482
0	468
1	446
2	414
3	378
4	352
5	355
6	384
7	421
8	448
9	457
10	444
11	442
12	435
13	423
14	408
15	383
0	370
1	390
2	418
3	421
4	408
5	383
6	379
7	415
8	471
9	520
10	546
11	552
12	570
13	596
14	627
15	629
0	597
1	536
2	485
3	452
4	443
5	443
6	448
7	444
8	437
9	441
10	455
11	470
12	474
13	466
14	456
15	428
0	415
1	418
2	417
3	407
4	399
5	408
6	427
7	435
8	436
9	426
10	432
11	444
12	462
13	486
14	501
15	520
0	551
1	583
2	590
3	573
4	530
5	471
6	436
7	439
8	440
9	445
10	447
11	436
12	450
13	496
14	532
15	540
0	515
1	477
2	467
3	473
4	456
5	415
6	374
7	356
8	353
9	352
10	355
11	359
12	361
13	360
14	366
15	369
0	371
1	376
2	394
3	397
4	407
5	418
6	428
7	442
8	452
9	458
10	457
11	465
12	479
13	494
14	503
15	508
0	501
1	497
2	495
3	489
4	483
5	479
6	470
7	466
8	465
9	463
10	463
11	461
12	462
13	461
14	460
15	455
0	446
1	443
2	448
3	425
4	416
5	413
6	421
7	435
8	440
9	447
10	452
11	460
12	465
13	470
14	470
15	471
0	468
1	467
2	465
3	461
4	459
5	459
6	460
7	463
8	465
9	461
