#scientisst_nseq	scientisst_raw_AI6
0	1533
1	1534
2	1526
3	1522
4	1520
5	1520
6	1520
7	1519
8	1520
9	1520
10	1519
11	1520
12	1518
13	1520
14	1520
15	1520
0	1520
1	1520
2	1526
3	1527
4	1534
5	1535
6	1534
7	1543
8	1535
9	1535
10	1535
11	1535
12	1533
13	1532
14	1530
15	1530
0	1526
1	1525
2	1523
3	1521
4	1523
5	1569
6	1587
7	1597
8	1600
9	1603
10	1601
11	1600
12	1598
13	1592
14	1589
15	1584
0	1579
1	1574
2	1571
3	1568
4	1559
5	1554
6	1552
7	1551
8	1580
9	1595
10	1598
11	1600
12	1601
13	1600
14	1601
15	1600
0	1586
1	1585
2	1575
3	1568
4	1559
5	1553
6	1553
7	1554
8	1552
9	1552
10	1552
11	1550
12	1546
13	1545
14	1547
15	1550
0	1548
1	1546
2	1530
3	1535
4	1535
5	1535
6	1533
7	1531
8	1531
9	1535
10	1532
11	1531
12	1519
13	1511
14	1520
15	1531
0	1533
1	1530
2	1535
3	1545
4	1550
5	1554
6	1553
7	1552
8	1552
9	1547
10	1550
11	1543
12	1533
13	1529
14	1527
15	1522
0	1519
1	1506
2	1488
3	1488
4	1490
5	1502
6	1498
7	1491
8	1478
9	1487
10	1505
11	1514
12	1523
13	1526
14	1529
15	1529
0	1530
1	1529
2	1531
3	1530
4	1535
5	1548
6	1550
7	1535
8	1533
9	1522
10	1524
11	1534
12	1534
13	1533
14	1532
15	1535
0	1552
1	1559
2	1557
3	1557
4	1553
5	1552
6	1551
7	1552
8	1546
9	1545
10	1535
11	1530
12	1531
13	1527
14	1519
15	1501
0	1513
1	1519
2	1522
3	1515
4	1509
5	1520
6	1533
7	1546
8	1552
9	1549
10	1547
11	1535
12	1535
13	1531
14	1531
15	1521
0	1520
1	1520
2	1505
3	1488
4	1475
5	1488
6	1496
7	1491
8	1483
9	1473
10	1482
11	1492
12	1501
13	1514
14	1511
15	1510
0	1517
1	1517
2	1517
3	1513
4	1523
5	1525
6	1525
7	1519
8	1513
9	1514
10	1520
11	1520
12	1520
13	1525
14	1535
15	1543
0	1545
1	1546
2	1535
3	1531
4	1527
5	1521
6	1520
7	1520
8	1520
9	1507
10	1490
11	1487
12	1488
13	1489
14	1488
15	1479
0	1488
1	1504
2	1513
3	1516
4	1515
5	1514
6	1515
7	1512
8	1515
9	1520
10	1526
11	1530
12	1531
13	1522
14	1520
15	1522
0	1534
1	1542
2	1533
3	1534
4	1549
5	1552
6	1551
7	1552
8	1545
9	1535
10	1535
11	1527
12	1533
13	1526
14	1521
15	1517
0	1502
1	1488
2	1499
3	1506
4	1504
5	1488
6	1481
7	1493
8	1511
9	1519
10	1517
11	1518
12	1517
13	1518
14	1521
15	1526
0	1525
1	1531
2	1533
3	1533
4	1527
5	1520
6	1526
7	1542
8	1535
9	1533
10	1535
11	1547
12	1549
13	1546
14	1543
15	1534
0	1528
1	1523
2	1520
3	1519
4	1520
5	1519
6	1510
7	1494
8	1491
9	1498
10	1499
11	1495
12	1488
13	1491
14	1503
15	1511
0	1518
1	1515
2	1517
3	1520
4	1520
5	1521
6	1524
7	1526
8	1530
9	1534
10	1520
11	1523
12	1530
13	1524
14	1521
15	1527
0	1535
1	1545
2	1533
3	1533
4	1530
5	1525
6	1520
7	1514
8	1510
9	1515
10	1513
11	1499
12	1483
13	1483
14	1490
15	1488
0	1482
1	1488
2	1501
3	1510
4	1518
5	1520
6	1519
7	1517
8	1515
9	1520
10	1519
11	1520
12	1520
13	1520
14	1506
15	1503
0	1517
1	1519
2	1510
3	1501
4	1503
5	1509
6	1509
7	1506
8	1505
9	1505
10	1509
11	1505
12	1509
13	1514
14	1520
15	1520
0	1515
1	1508
2	1524
3	1534
4	1532
5	1520
6	1521
7	1535
8	1543
9	1545
10	1543
11	1535
12	1535
13	1542
14	1535
15	1535
0	1534
1	1535
2	1543
3	1546
4	1530
5	1522
6	1521
7	1521
8	1525
9	1530
10	1526
11	1523
12	1524
13	1515
14	1517
15	1520
0	1517
1	1520
2	1520
3	1521
4	1525
5	1527
6	1535
7	1551
8	1554
9	1555
10	1553
11	1552
12	1551
13	1552
14	1552
15	1552
0	1552
1	1549
2	1550
3	1552
4	1549
5	1551
6	1552
7	1546
8	1542
9	1545
10	1529
11	1523
12	1520
13	1517
14	1515
15	1515
0	1517
1	1517
2	1518
3	1520
4	1518
5	1519
6	1518
7	1520
8	1526
9	1531
10	1526
11	1533
12	1546
13	1555
14	1555
15	1559
0	1553
1	1552
2	1553
3	1552
4	1548
5	1545
6	1535
7	1530
8	1524
9	1527
10	1528
11	1521
12	1520
13	1523
14	1534
15	1535
0	1542
1	1545
2	1545
3	1545
4	1535
5	1535
6	1545
7	1534
8	1534
9	1534
10	1529
11	1525
12	1530
13	1527
14	1525
15	1530
0	1525
1	1526
2	1535
3	1545
4	1549
5	1547
6	1545
7	1547
8	1548
9	1549
10	1549
11	1547
12	1552
13	1552
14	1551
15	1555
0	1554
1	1553
2	1554
3	1552
4	1553
5	1559
6	1558
7	1558
8	1557
9	1565
10	1556
11	1555
12	1552
13	1550
14	1546
15	1545
0	1531
1	1534
2	1530
3	1523
4	1525
5	1528
6	1523
7	1527
8	1531
9	1532
10	1522
11	1519
12	1520
13	1520
14	1521
15	1522
0	1527
1	1524
2	1527
3	1535
4	1546
5	1547
6	1547
7	1554
8	1555
9	1561
10	1563
11	1564
12	1564
13	1566
14	1557
15	1554
0	1551
1	1552
2	1549
3	1534
4	1530
5	1523
6	1519
7	1520
8	1516
9	1514
10	1520
11	1520
12	1534
13	1535
14	1542
15	1545
0	1542
1	1544
2	1546
3	1549
4	1550
5	1551
6	1548
7	1550
8	1550
9	1547
10	1545
11	1547
12	1553
13	1563
14	1558
15	1552
0	1543
1	1529
2	1522
3	1520
4	1520
5	1520
6	1519
7	1519
8	1517
9	1514
10	1520
11	1523
12	1523
13	1529
14	1533
15	1549
0	1552
1	1553
2	1555
3	1557
4	1555
5	1552
6	1552
7	1552
8	1552
9	1552
10	1546
11	1544
12	1533
