#{'API version': '1.0.5', 'Channels': [1], 'Channels indexes mV': [6], 'Channels indexes raw': [5], 'Channels labels': ['AI1_raw', 'AI1_mv'], 'Device': '/dev/cu.ScientISST-54-96', 'Firmware version': '1.0', 'Header': ['NSeq', 'I1', 'I2', 'O1', 'O2', 'AI1_raw', 'AI1_mv'], 'ISO 8601': '2023-01-06T10:57:53.327090', 'Resolution (bits)': [4, 1, 1, 1, 1, 12], 'Sampling rate (Hz)': 10, 'Timestamp': 1673002673.32709}
#NSeq	I1	I2	O1	O2	AI1_raw	AI1_mv
0	0	0	0	0	1778	1696
1	0	0	0	0	1780	1696
2	0	0	0	0	1779	1696
3	0	0	0	0	1779	1696
4	0	0	0	0	1781	1696
5	0	0	0	0	1777	1696
6	0	0	0	0	1781	1696
7	0	0	0	0	1780	1696
8	0	0	0	0	1779	1696
9	0	0	0	0	1781	1696
10	0	0	0	0	1778	1696
11	0	0	0	0	1777	1696
12	0	0	0	0	1777	1696
13	0	0	0	0	1778	1696
14	0	0	0	0	1779	1696
15	0	0	0	0	1777	1696
0	0	0	0	0	1779	1696
1	0	0	0	0	1779	1696
2	0	0	0	0	1779	1696
3	0	0	0	0	1782	1699
4	0	0	0	0	1777	1696
5	0	0	0	0	1776	1692
6	0	0	0	0	1777	1696
7	0	0	0	0	1779	1696
8	0	0	0	0	1776	1692
9	0	0	0	0	1781	1696
10	0	0	0	0	1780	1696
11	0	0	0	0	1780	1696
12	0	0	0	0	1780	1696
13	0	0	0	0	1779	1696
14	0	0	0	0	1778	1696
15	0	0	0	0	1781	1696
0	0	0	0	0	1779	1696
1	0	0	0	0	1779	1696
2	0	0	0	0	1777	1696
3	0	0	0	0	1779	1696
4	0	0	0	0	1779	1696
5	0	0	0	0	1778	1696
6	0	0	0	0	1779	1696
7	0	0	0	0	1777	1696
8	0	0	0	0	1780	1696
9	0	0	0	0	1778	1696
10	0	0	0	0	1779	1696
11	0	0	0	0	1779	1696
12	0	0	0	0	1778	1696
13	0	0	0	0	1779	1696
14	0	0	0	0	1780	1696
15	0	0	0	0	1777	1696
0	0	0	0	0	1778	1696
1	0	0	0	0	1778	1696
2	0	0	0	0	1780	1696
3	0	0	0	0	1781	1696
4	0	0	0	0	1782	1699
5	0	0	0	0	1778	1696
6	0	0	0	0	1781	1696
7	0	0	0	0	1777	1696
8	0	0	0	0	1750	1672
9	0	0	0	0	1521	1485
10	0	0	0	0	1552	1512
11	0	0	0	0	1280	1291
12	0	0	0	0	710	829
13	0	0	0	0	705	825
14	0	0	0	0	713	832
15	0	0	0	0	1003	1067
0	0	0	0	0	715	832
1	0	0	0	0	866	955
2	0	0	0	0	1098	1145
3	0	0	0	0	763	873
4	0	0	0	0	679	805
5	0	0	0	0	669	795
6	0	0	0	0	667	795
7	0	0	0	0	685	808
8	0	0	0	0	685	808
9	0	0	0	0	679	805
10	0	0	0	0	1200	1227
11	0	0	0	0	1163	1196
12	0	0	0	0	764	873
13	0	0	0	0	1053	1108
14	0	0	0	0	1455	1434
15	0	0	0	0	1360	1356
0	0	0	0	0	822	921
1	0	0	0	0	816	914
2	0	0	0	0	807	907
3	0	0	0	0	860	951
4	0	0	0	0	880	968
5	0	0	0	0	780	887
6	0	0	0	0	1142	1179
7	0	0	0	0	1641	1583
8	0	0	0	0	1697	1628
9	0	0	0	0	1713	1641
10	0	0	0	0	1762	1682
11	0	0	0	0	1765	1685
12	0	0	0	0	1774	1692
13	0	0	0	0	1776	1692
14	0	0	0	0	1776	1692
15	0	0	0	0	1778	1696
0	0	0	0	0	1783	1699
1	0	0	0	0	1712	1641
2	0	0	0	0	1734	1658
3	0	0	0	0	2054	1920
4	0	0	0	0	2864	2576
5	0	0	0	0	2868	2579
6	0	0	0	0	2864	2576
7	0	0	0	0	1679	1614
8	0	0	0	0	714	832
9	0	0	0	0	723	839
10	0	0	0	0	725	842
11	0	0	0	0	723	839
12	0	0	0	0	736	849
13	0	0	0	0	735	849
14	0	0	0	0	735	849
15	0	0	0	0	738	853
0	0	0	0	0	735	849
1	0	0	0	0	733	849
2	0	0	0	0	738	853
3	0	0	0	0	738	853
4	0	0	0	0	738	853
5	0	0	0	0	737	853
6	0	0	0	0	1573	1529
7	0	0	0	0	1766	1685
8	0	0	0	0	1799	1713
9	0	0	0	0	1799	1713
10	0	0	0	0	1793	1706
11	0	0	0	0	1791	1706
12	0	0	0	0	1791	1706
13	0	0	0	0	1790	1706
14	0	0	0	0	1790	1706
